description,country,variety
"High density planting of a vineyard on the slopes of the Azeitão mountains has produced a rich and seriously dense wine. It has enormous amounts of spice, oak-aged flavors and bitter tannins. The red fruits are lost at this stage in the welter of other flavors. but with time its true, impressive colors with shine. Drink after 2016.",Portugal,Merlot
"This is a beautifully ripe, smooth wine. The wood aging adds a touch of vanilla to what is rich blend of Aragonez, Trincadeira and Touriga Nacional. Black berry fruits, rich tannins and just the right amount of acidity make a wine that will be ready to drink in the medium-term. Drink from 2016.",Portugal,Portuguese Red
"Coming from the north of the Vinho Verde region, this is a blend of Alvarinho with Trajadura. A hint of honey comes along with almonds, ripe apples and oranges. Aromatic, softly textured and ready to drink, it's a sophisticated, dry Vinho Verde.",Portugal,Portuguese White
"Dusty tannins dominate this opulent, full-bodied wine that isn't going to be shy as it develops. With its superripe black fruits and juicy acidity, it is fruity, but the power that is the most obvious element. Drink this bombshell from 2016.",Portugal,Portuguese Red
"The name of the wine is, of course, a branding exercise in itself. Luckily, the wine inside the bottle is ripe and enjoyable. It's fruity, soft, gently tannic with juicy red fruits and black plums, all finished with fresh acidity. Drink now. Screwcap.",Portugal,Portuguese Red
"This second wine from Duorum is softly ripe, broad and fruity, full of bright red fruits as well as fresh acidity and gentle tannins. Just hinting at wood aging, it's a wine to drink soon, from 2015.",Portugal,Portuguese Red
"A smooth, wood-aged wine that is rich and toasty. With a touch of honey to show the ripe side of the apricot and white peach fruit flavors, the wine is soft, now mature and ready to drink.",Portugal,Portuguese White
"This is a finely integrated, rich wine that shows impeccable balance between dusty tannins and juicy dark berry tones. The wood aging shows through in a smooth texture that gives a sense of richness to the ripe fruit. This is an elegant wine that can be drunk now although it will benefit from some aging. Drink from 2017.",Portugal,Portuguese Red
"This is a rich wine with smooth tannins that are integrated into the ripe black fruits. It's packed with juicy fruitiness. It also has a dry core and acidity, both of which will allow the wine to age. Concentrated, it is ready to drink now, although it will be better from 2017.",Portugal,Portuguese Red
"While 2013 was not a great Port year, it produced some attractive Vintage wines such as this one. It is likely to develop quickly, already showing ripe fruit and generous dried prune flavors along with the firmer tannins. Drink this from 2020.",Portugal,Port
"This is a smooth and fruity wine that is named after the matriarch of the family. It has some structure and a dry core, although it is the rich red and black fruits that create its main character. It is developing well, with a fine juicy streak. Drink from 2017.",Portugal,Portuguese Red
"Seara d'Ordens is a quinta at the western end of the Douro region. This rich and polished wine is full of black fruits, with herbal overtones and layers of wood aging that have left espresso flavors. With this concentration, the wine needs to age for several years; drink after 2017.",Portugal,Portuguese Red
"A ripe, tannic and herbal wine, this has been produced for aging. It shows a dark tannic side over the juicy black plum fruits and berry flavors. The wood aging shows in the way the wine smoothes out at the end, leaving a rich, full-bodied aftertaste. Drink from 2016.",Portugal,Portuguese Red
"This rich, wood-aged wine abounds with spice and ripe pear, peach and mango fruits. The dense texture comes from aging on the lees for four months, adding to the richness and spicy character. Drink this wine now, but it will be better in 2015.",Portugal,Portuguese White
"An elegant Alvarinho from the north of the Vinho Verde region. It has some wood aging, rounding out the acidity of the fruit and introducing a spiced orange and lime character, full-bodied and ripe. It could age until 2015, but is ready to drink.",Portugal,Alvarinho
"This is a tannic while richly fruity wine, showing ripe warm-climate Cabernet Sauvignon flavors. Blackberries and dusty tannins are to the fore, giving a firm structure, fine juiciness and a dense texture. The wine could age, so drink from 2016.",Portugal,Cabernet Sauvignon
"This is already a delicious wine with its hints of yellow fruits, soft minerality and creamy texture. There is a touch of toast, warm fruitiness and fresh acidity. It's ready to drink now, but will age until 2020.",Portugal,Portuguese White
"This is a wine that shows a more serious side to Vinho Verde. Bone dry, with a crisp and creamy texture, it has citrus, pineapple and red apple flavors. It could even age a few months, but is so drinkable now.",Portugal,Arinto
"This is a finely made, easy to drink wine. It is soft, round, with spice and light tannins, a wine that would travel to parties, barbecues and pasta bakes. The acidity from the blackberry flavor keeps it fresh and fruity.",Portugal,Portuguese Red
"This is a bone dry Vinho Verde, very crisp and tight. It has the freshest sliced apple and lime flavors that are both refreshing and invigorating. From high, cool vineyards, this is a fine wine that would benefit from a few more months in bottle.",Portugal,Portuguese White
"The red juiced Alicante Bouschet has produced a powerful and generous wine that's rich and full of southern sun as well as dark black fruits. It is concentrated and impressive with its ripe flavors. Foot-trodden in open fermenters, it is full and generous needing to age until 2017.",Portugal,Alicante Bouschet
"A bold, rich wine fringed with tannins, at a young age it already shows a solid structure of ripe and juicy berry tones. With well-balanced oak aging, slightly toasty notes show restraint on this dark and complex wine that has potential to age. Drink after 2016.",Portugal,Aragonez
"There is no messing with Reguengos wines. They are big, bold, ripe and juicy. Sometimes they also have a more serious intent. This wine brings out structure, a mineral texture as well as rich red fruits, and the possibility of aging. Drink after 2016.",Portugal,Portuguese Red
"The wine is undeniably rich, but it wears its richness easily, allowing the fruitiness to show through. With hints of wood aging, spice as well as peach and ripe apricot fruits, it is full of potential. Drink from 2015.",Portugal,Portuguese Red
"This rich, wood-aged wine fully expresses the ripe fruit that comes from the Alentejo plains. It is dense with concentrated tannins and powerful black fruits. With its licorice, toast and powerful fruitiness, it needs some more aging. Drink from 2017.",Portugal,Portuguese Red
"A very rounded, wood-aged wine, this is rich and admittedly delicious, although the wood smothers the fruit. It has hints of ripe yellow fruits, a touch of quince and a fine line of citrus to finish it off. Give it until 2015 for the wood to balance out.",Portugal,Portuguese White
"A touch of wood aging brings spice and vanilla to this ripe, citrus and pineapple flavored wine. Very fruity, and with sophistication from the toast flavors, it finishes with almonds and the freshest acidity. Drink from 2015.",Portugal,Fernão Pires
"Open and fruity, this is a fresh citrus and green fruit flavored wine. It is light and crisp with only a hint of texture, more in the way of enjoyable fruitiness. Drink now.",Portugal,Portuguese White
